sid,scaden_epi,scaden_lymph,scaden_conn,epi_pan_neo,inflam,connective,dead,epi_pan_non_neo,epi_pan_perc,inflam_perc,connective_perc,dead_perc,epi_mon,lymph,macro,neutro,epi_mon_perc,lymph_perc,macro_perc,neutro_perc,epi_manual,lymph_manual,combined_neo_epi,combined_inflam,combined_conn,combined_dead,combined_epi_non_neo,combined_mon_unique_epi,combined_lymph,combined_macro,combined_neutro,combined_epi_perc,combined_inflam_perc,combined_conn_perc,combined_dead_perc,combined_lymph_perc,combined_macro_perc,combined_neutro_perc,scaden_own_epi,scaden_own_lymph
s_218,52.1336324,5.4684226,17.1512626,78360,2446,123251,823,3589,39.3099,1.1733,59.122,0.3948,55748,5766,6875,89,81.41,8.42,10.04,0.13,60,0,89440,6341,111015,726,947,2971,130,2787,14,43.5497,2.958,51.7864,0.3387,0.0606,1.3001,0.0065,41.2680486,5.7105775
s_22,46.4051234,5.8806415,19.483743,77877,2700,182033,637,14407,33.2371,0.9724,65.5611,0.2294,76207,8875,4556,140,84.88,9.89,5.07,0.16,40,1,96747,9538,166998,666,3705,3531,150,2656,7,36.614,3.3585,58.8025,0.2345,0.0528,0.9352,0.0025,39.2980015,5.4353948
s_221,52.4742903,5.4153791,17.1507594,65667,395,33292,120,1622,66.5595,0.3907,32.9311,0.1187,41165,1706,1338,51,93.01,3.85,3.02,0.12,60,0,70253,1812,28414,157,460,2333,14,550,2,70.2399,1.7424,27.3225,0.151,0.0135,0.5289,0.0019,41.9400265,5.5991323
s_224,45.1933923,5.8243494,21.677636,94098,2905,223343,490,5397,30.4981,0.8905,68.4612,0.1502,77281,11615,2181,411,84.47,12.7,2.38,0.45,40,0,111082,12551,200284,874,1442,3394,121,793,12,35.0679,3.797,60.5906,0.2644,0.0366,0.2399,0.0036,36.706283,5.2816814
s_226,50.731456,5.5178854,17.7469813,481605,3076,440618,623,15865,52.8219,0.3266,46.7853,0.0662,378313,16462,5459,99,94.5,4.11,1.36,0.02,50,1,532996,17203,387625,639,3324,18056,156,2650,18,57.5875,1.787,40.2657,0.0664,0.0162,0.2753,0.0019,41.1067948,5.3639535
s_227,52.5837589,5.2703092,17.2449978,187080,858,168435,325,10106,53.7579,0.2339,45.9196,0.0886,138948,3782,3775,109,94.77,2.58,2.57,0.07,60,0,202670,4172,156747,359,2856,7127,66,2099,9,56.5409,1.1093,41.6764,0.0955,0.0175,0.5581,0.0024,42.3974163,5.3024133
s_228,53.4139653,5.224536,16.9792314,135816,1790,105542,673,3073,56.2545,0.725,42.7479,0.2726,81069,6845,5067,104,87.09,7.35,5.44,0.11,50,0,147228,7303,90851,639,873,3623,96,2483,22,59.942,2.8852,35.8927,0.2525,0.0379,0.981,0.0087,42.1405996,5.7882943
s_229,50.9790818,5.488571,17.5188523,90727,823,84937,364,3767,52.317,0.4557,47.0258,0.2015,62234,3587,2789,66,90.62,5.22,4.06,0.1,60,0,100019,3810,75357,359,1073,2830,82,1541,33,56.1425,2.0583,40.7106,0.1939,0.0443,0.8325,0.0178,41.791867,5.3717056
s_23,47.0665838,5.8598154,19.2655276,113257,1458,80571,1049,4304,58.5933,0.7267,40.1572,0.5228,91488,4065,4621,45,91.29,4.06,4.61,0.04,50,0,126003,4352,68383,906,995,3736,75,1962,11,63.3331,2.1083,33.1276,0.4389,0.0363,0.9505,0.0053,38.1914903,5.1262134
s_231,44.737903,6.0684158,20.7262486,69545,1350,80013,285,1366,46.481,0.8849,52.4472,0.1868,34422,4953,5466,65,76.65,11.03,12.17,0.14,50,0,73883,5453,72488,298,437,1857,51,3169,5,48.3231,3.4591,45.983,0.189,0.0324,2.0103,0.0032,36.6440738,5.2748123
s_232,49.5128631,5.6715225,18.7984444,94556,3135,113387,3608,4337,45.1519,1.4314,51.7694,1.6473,80397,5398,7268,336,86.08,5.78,7.78,0.36,50,0,113496,6209,94928,3487,903,4845,89,3804,13,52.3519,2.7259,41.6764,1.5309,0.0391,1.6701,0.0057,39.0277042,5.7147768
