sid,scaden_epi,scaden_lymph,scaden_conn,epi_pan_neo,inflam,connective,dead,epi_pan_non_neo,epi_pan_perc,inflam_perc,connective_perc,dead_perc,epi_mon,lymph,macro,neutro,epi_mon_perc,lymph_perc,macro_perc,neutro_perc,epi_manual,lymph_manual,combined_neo_epi,combined_inflam,combined_conn,combined_dead,combined_epi_non_neo,combined_mon_unique_epi,combined_lymph,combined_macro,combined_neutro,combined_epi_perc,combined_inflam_perc,combined_conn_perc,combined_dead_perc,combined_lymph_perc,combined_macro_perc,combined_neutro_perc,scaden_own_epi,scaden_own_lymph
s_281,49.5133405,5.6429967,18.7144855,200018,1702,227117,313,15928,48.5187,0.3824,51.0286,0.0703,160106,7180,3240,317,93.72,4.2,1.9,0.19,50,0,227511,7735,205146,697,3989,7129,64,1335,3,52.6068,1.7052,45.2253,0.1537,0.0141,0.2943,0.0007,41.3058258,5.3503038
s_282,53.0027801,5.4543944,16.7865981,147004,745,92776,262,6069,62.009,0.3018,37.583,0.1061,115874,4406,4838,60,92.57,3.52,3.86,0.05,50,1,164626,4580,75973,272,1405,4888,50,2339,6,67.2541,1.8022,29.8943,0.107,0.0197,0.9204,0.0024,41.6283384,5.7832537
s_283,47.1606954,5.732424,20.2952343,48646,512,92777,197,3025,35.5966,0.3527,63.9149,0.1357,42212,2484,2406,63,89.5,5.27,5.1,0.13,40,1,60083,2671,81481,243,679,2297,20,1024,4,42.4634,1.7986,54.8686,0.1636,0.0135,0.6896,0.0027,38.706365,5.3063964
s_285,53.3212982,5.1055269,17.0864637,88708,634,55809,340,6441,62.626,0.4173,36.7329,0.2238,71186,2035,1597,61,95.07,2.72,2.13,0.08,50,0,98133,2264,49839,361,1335,2681,24,644,6,65.7808,1.4579,32.0948,0.2325,0.0155,0.4147,0.0039,44.236232,5.240999
s_286,53.0949912,5.3554947,16.7105215,128337,1058,70499,439,4191,64.7983,0.5173,34.4698,0.2146,100232,3032,2621,148,94.53,2.86,2.47,0.14,60,0,139475,3408,59738,566,1337,3667,36,1264,6,68.9647,1.6268,28.515,0.2702,0.0172,0.6033,0.0029,42.6639588,5.5862767
s_287,39.813449,7.1637144,22.0040854,241669,2353,204208,884,6889,54.508,0.516,44.7822,0.1939,147063,5809,5627,197,92.67,3.66,3.55,0.12,50,0,258768,6876,187164,1009,2186,7711,59,2316,7,57.6416,1.4752,40.1557,0.2165,0.0127,0.4969,0.0015,35.1354223,5.1979913
s_288,52.2248184,5.0955367,17.2538318,131403,778,84412,265,2845,61.1043,0.3541,38.421,0.1206,64526,2574,3905,74,90.78,3.62,5.49,0.1,40,0,135634,2846,79591,290,1342,3852,36,2201,13,62.3671,1.2604,35.2477,0.1284,0.0159,0.9747,0.0058,42.243372,5.201677
s_289,56.6700832,4.8770849,15.8618982,188162,592,117200,267,3536,61.8866,0.1911,37.8361,0.0862,115681,2268,2556,62,95.95,1.88,2.12,0.05,60,0,197876,2514,107783,307,1277,6724,16,1304,7,64.7803,0.791,33.9145,0.0966,0.005,0.4103,0.0022,45.6325367,5.5780701
s_290,51.6061659,5.2719815,17.7162662,137226,497,108202,249,2437,56.1773,0.1999,43.5226,0.1002,58230,1581,2225,74,93.75,2.55,3.58,0.12,50,0,142278,1771,103254,280,1028,4190,43,1156,14,58.0661,0.6972,40.6489,0.1102,0.0169,0.4551,0.0055,42.4108356,5.4197897
s_294,54.374306,5.20398,16.5233155,99896,394,55256,240,2721,64.7397,0.2486,34.8603,0.1514,69911,1817,1799,40,95.03,2.47,2.45,0.05,60,0,106782,1941,48732,258,794,2943,28,867,1,68.0762,1.1956,30.0174,0.1589,0.0172,0.534,0.0006,43.7367575,5.6815993
s_295,43.698976,6.2114568,21.069955,193893,4909,239276,1066,18120,46.3656,1.0736,52.3278,0.2331,155681,13511,3940,249,89.79,7.79,2.27,0.14,40,0,222294,14745,214764,1163,4298,5689,178,1556,10,49.9855,3.173,46.2159,0.2503,0.0383,0.3348,0.0022,38.3839784,4.7296324
s_297,54.5588696,5.0201473,16.2401005,240114,1515,199058,789,4023,54.8008,0.3401,44.682,0.1771,104079,4823,4141,231,91.88,4.26,3.66,0.2,60,0,255148,5349,182401,957,1644,6039,48,1843,3,57.9648,1.1797,40.2268,0.2111,0.0106,0.4065,0.0007,42.8244887,5.579692
s_3,47.3686688,5.3528845,18.5446155,66908,433,51681,201,12498,60.2835,0.3287,39.2352,0.1526,58122,3959,1344,35,91.59,6.24,2.12,0.06,40,0,77841,4039,47091,208,2542,2061,72,661,11,61.2848,3.0024,35.0051,0.1546,0.0535,0.4914,0.0082,40.0068743,5.0702664
s_30,49.439656,5.63106,18.2378732,138016,1398,178850,724,8984,44.8209,0.4263,54.5321,0.2208,126891,5083,9729,306,89.35,3.58,6.85,0.22,50,0,164210,5648,154615,790,2709,7953,65,4427,22,51.3666,1.659,45.4164,0.2321,0.0191,1.3004,0.0065,40.1533944,5.1174318
s_301,48.245648,5.6577508,19.6050294,49645,612,56595,125,1549,47.1721,0.5639,52.1488,0.1152,29085,1985,893,82,90.76,6.19,2.79,0.26,50,0,54014,2191,51617,196,508,1733,19,359,2,50.8455,1.9803,46.6535,0.1772,0.0172,0.3245,0.0018,38.4098227,5.5515599
s_304,46.846791,5.8717475,19.7029733,147021,3217,178520,787,4443,45.3501,0.9632,53.451,0.2356,88995,9075,7474,332,84.06,8.57,7.06,0.31,60,0,160681,10037,161250,885,1135,4230,117,3730,49,48.5353,2.9338,47.1334,0.2587,0.0342,1.0903,0.0143,38.7460721,5.0789243
s_306,53.748342,4.8590291,16.7023962,432385,8488,329104,1696,39227,58.1591,1.0467,40.585,0.2092,338118,18631,14631,365,90.95,5.01,3.94,0.1,60,0,471877,20291,306328,1730,10674,13809,272,8296,30,59.5651,2.435,36.7605,0.2076,0.0326,0.9956,0.0036,42.9403444,5.3545175
s_307,44.226086,6.2337778,20.6950244,189918,1913,221999,504,11785,47.3349,0.4489,52.0979,0.1183,158099,9299,7107,477,90.35,5.31,4.06,0.27,40,1,216689,9969,195509,944,3008,7817,72,3526,11,51.9979,2.2784,44.6832,0.2157,0.0165,0.8059,0.0025,37.7654018,5.1334852
s_308,51.152948,5.3536738,17.9658775,213502,1781,151397,305,8593,59.1342,0.4742,40.3104,0.0812,154248,7803,4875,219,92.28,4.67,2.92,0.13,60,0,235395,8274,129133,482,2294,6921,86,3002,21,63.4349,2.1457,33.4882,0.125,0.0223,0.7785,0.0054,42.0643154,5.2606636
s_31,52.8809831,5.4273563,16.7110873,204814,1225,136791,822,5415,60.226,0.3509,39.1876,0.2355,158869,3623,8469,246,92.79,2.12,4.95,0.14,70,0,221254,4039,121166,844,1764,8983,40,4239,39,64.0236,1.1146,33.4373,0.2329,0.011,1.1698,0.0108,42.7387714,5.8513777
s_310,48.8587834,5.673222,19.1936404,25793,1210,58734,535,2013,31.4957,1.3706,66.5277,0.606,15692,2439,594,158,83.1,12.92,3.15,0.84,40,0,29454,2877,54617,671,666,648,31,243,1,34.4902,3.225,61.2243,0.7522,0.0348,0.2724,0.0011,41.6886984,5.0835703
s_311,49.588194,5.4555612,18.3959278,163084,1183,170550,221,7899,49.8584,0.345,49.7322,0.0644,116816,5933,1992,204,93.49,4.75,1.59,0.16,40,0,179662,6301,154591,392,1991,6381,63,896,23,53.678,1.7987,44.131,0.1119,0.018,0.2558,0.0066,41.0062336,5.105225
s_312,50.2308012,5.459125,18.4669837,123694,847,128721,298,4014,49.5811,0.3288,49.9744,0.1157,76739,4489,5531,148,88.3,5.17,6.36,0.17,40,0,135690,4727,115232,382,1543,4327,90,2805,23,53.4554,1.785,43.5135,0.1442,0.034,1.0592,0.0087,40.4735965,5.1307893
s_313,48.8892277,5.6202799,19.041703,176301,2117,167223,522,5257,51.6641,0.6024,47.5849,0.1485,119628,9238,4596,149,89.53,6.91,3.44,0.11,50,1,193939,9901,145360,594,1626,5474,114,2420,18,55.9302,2.7545,40.44,0.1653,0.0317,0.6733,0.005,39.0606,5.4630286
s_314,44.234795,6.0327485,20.8415751,112202,1595,123389,496,7774,48.8788,0.6498,50.2693,0.2021,91907,6866,6637,112,87.1,6.51,6.29,0.11,40,1,130325,7285,105439,561,1846,3913,69,3987,6,53.6967,2.8745,41.6046,0.2214,0.0272,1.5732,0.0024,37.9658468,5.124701
s_315,51.69939,4.9924802,17.393711,144439,1464,137648,343,7575,52.1544,0.5023,47.2256,0.1177,113325,5228,1822,147,94.03,4.34,1.51,0.12,50,0,158573,5665,124853,445,1933,3648,121,1157,27,55.3785,1.9111,42.12,0.1501,0.0408,0.3903,0.0091,41.8264853,5.0461151
s_316,44.3797285,5.9861144,20.6246968,132448,2480,203194,497,7654,40.46,0.7162,58.6803,0.1435,96891,8405,3589,127,88.88,7.71,3.29,0.12,40,0,149587,9149,184945,541,2051,4491,123,1494,6,44.3061,2.5963,52.4835,0.1535,0.0349,0.424,0.0017,37.1461571,5.0360629
s_317,47.41552,6.022967,18.9276174,222467,3132,194031,688,17415,54.801,0.7155,44.3263,0.1572,170546,10870,7551,347,90.09,5.74,3.99,0.18,40,1,247720,11797,173350,960,3906,6334,102,3179,6,57.6635,2.6371,38.7501,0.2146,0.0228,0.7106,0.0013,39.2931636,5.1611954
s_318,45.6073702,5.9536441,19.3154725,181092,3837,179368,1046,5129,50.2659,1.0357,48.4161,0.2823,104955,8552,9836,124,85.01,6.93,7.97,0.1,50,0,191444,9876,166650,1020,1482,5233,163,4405,18,52.1072,2.597,43.8217,0.2682,0.0429,1.1583,0.0047,37.9403357,4.9266975
s_319,48.1395075,5.6251088,18.7651835,91297,1739,95879,408,2246,48.8299,0.9078,50.0493,0.213,60662,6233,2222,160,87.56,9,3.21,0.23,50,0,101298,6699,82333,566,673,2601,55,894,1,53.5937,3.4333,42.1961,0.2901,0.0282,0.4582,0.0005,38.3914732,5.1591332
s_32,52.7441953,5.3500088,17.2559196,225592,4190,213689,1119,3798,51.1588,0.9345,47.6572,0.2496,163657,13994,11671,199,86.35,7.38,6.16,0.11,50,0,254833,14703,177085,1077,690,10449,158,5211,17,57.294,3.1672,38.1465,0.232,0.034,1.1225,0.0037,42.8501587,5.5908748
s_320,51.766028,5.407903,17.5126665,160664,1851,173085,1288,7290,48.7986,0.5378,50.2894,0.3742,85922,6419,6487,180,86.78,6.48,6.55,0.18,40,0,174487,7062,158495,1281,2853,5353,69,2783,3,51.8446,2.0041,44.9777,0.3635,0.0196,0.7898,0.0009,41.3276002,5.5390065
s_321,55.7859764,4.972944,15.6725534,199472,620,102254,417,9144,66.884,0.1988,32.7835,0.1337,136126,3078,3858,46,95.12,2.15,2.7,0.03,50,0,213618,3255,92404,349,2281,7561,37,1706,6,69.5667,1.0133,28.7668,0.1086,0.0115,0.5311,0.0019,45.5735611,5.3205179
s_322,49.9871545,5.5039425,17.9062422,79956,712,69418,368,4867,54.6114,0.4584,44.6932,0.2369,55579,2895,3418,100,89.66,4.67,5.51,0.16,40,1,89185,3123,61146,411,1456,3013,30,1503,12,58.578,1.9534,38.2452,0.2571,0.0188,0.9401,0.0075,39.8195646,5.2500609
s_323,48.5873604,5.5394418,19.0010161,95598,358,94638,86,8838,52.3441,0.1794,47.4333,0.0431,68718,2223,775,44,95.76,3.1,1.08,0.06,40,0,106825,2340,87818,127,2408,2974,24,267,0,55.3335,1.1539,43.3064,0.0626,0.0118,0.1317,0,40.0910422,5.0614342
s_324,49.499218,5.6813658,18.5219929,198865,1585,228244,251,16944,48.3997,0.3555,51.1885,0.0563,142725,8002,1826,164,93.46,5.24,1.2,0.11,50,0,223614,8527,208879,412,4457,5239,69,775,1,51.6203,1.8866,46.2149,0.0912,0.0153,0.1715,0.0002,39.8999697,5.4239
s_325,46.3174535,6.0777831,19.3257425,111787,4608,121915,724,7769,48.4419,1.8671,49.3977,0.2934,86828,9638,3771,405,86.27,9.58,3.75,0.4,50,1,128050,11058,104697,1108,1890,3781,81,1365,4,53.0567,4.3875,41.5408,0.4396,0.0321,0.5416,0.0016,38.579636,4.8084222
s_326,53.4399631,5.2099921,16.8586599,121830,1387,166786,353,5786,43.0928,0.4684,56.3196,0.1192,78082,4917,4230,99,89.41,5.63,4.84,0.11,60,0,135731,5380,152752,403,1876,3827,67,2241,6,46.7886,1.7798,50.5328,0.1333,0.0222,0.7414,0.002,43.377958,5.6087224
s_327,48.7577492,5.7628611,18.8921066,90203,5759,227199,1148,10147,30.0039,1.7219,67.9309,0.3432,71735,14160,2906,249,80.56,15.9,3.26,0.28,60,1,109774,15559,205058,1213,2852,2460,143,816,10,34.0607,4.6048,60.6887,0.359,0.0423,0.2415,0.003,39.7625468,5.4616968
s_328,44.4810646,5.8807286,20.5019361,120880,1182,107993,364,10190,54.4743,0.4913,44.8832,0.1513,113513,5657,3429,117,92.5,4.61,2.79,0.1,40,0,143396,5865,88135,438,2775,4884,175,1709,13,61.0595,2.3708,35.6259,0.177,0.0707,0.6908,0.0053,37.1139746,5.1707786
s_329,54.883915,4.822607,16.3449742,91587,486,80805,102,4247,54.0742,0.2742,45.5941,0.0576,78110,2260,867,40,96.1,2.78,1.07,0.05,50,0,101458,2406,72169,120,1074,3878,28,355,2,58.6313,1.3257,39.7647,0.0661,0.0154,0.1956,0.0011,45.2090817,5.1546271
s_330,54.6023842,5.2361981,16.4006594,99752,808,97750,295,2467,50.837,0.4018,48.6144,0.1467,69214,1795,1870,112,94.83,2.46,2.56,0.15,40,0,106710,2199,90699,363,1101,3435,66,961,9,54.123,1.0698,44.1265,0.1766,0.0321,0.4675,0.0044,43.5498178,5.7471703
s_332,53.4250834,5.3558263,17.0101067,80074,2054,70399,688,3283,53.2639,1.3125,44.984,0.4396,48377,4697,2980,163,86.05,8.36,5.3,0.29,50,0,87925,5433,61430,736,974,2526,46,966,5,57.126,3.3948,38.3839,0.4599,0.0287,0.6036,0.0031,43.109701,5.6532543
s_333,50.933206,5.0868227,17.9150671,321095,5693,436569,1679,22716,43.6446,0.7227,55.4196,0.2131,265805,14969,17018,334,89.16,5.02,5.71,0.11,40,0,363439,17166,399922,1669,5556,13662,261,10182,53,47.1305,2.1143,49.2569,0.2056,0.0321,1.2541,0.0065,42.232677,5.0354013
s_336,53.3109506,5.3187575,16.3943089,211352,1463,108567,347,8906,66.6167,0.4425,32.8359,0.1049,173705,7363,2819,63,94.43,4,1.53,0.03,70,0,229404,7671,91292,380,1888,5400,61,1280,4,70.1559,2.2737,27.0591,0.1126,0.0181,0.3794,0.0012,44.3576002,5.3386416
s_337,46.5985935,5.7507732,20.8279892,123820,2137,176420,448,5643,41.9697,0.6928,57.1923,0.1452,101884,10840,3503,106,87.58,9.32,3.01,0.09,40,0,145539,11374,149716,530,1309,4526,98,1284,1,48.1505,3.6179,47.6231,0.1686,0.0312,0.4084,0.0003,37.7016197,5.0570742
s_338,50.0099487,5.897372,17.8316462,162705,1779,84435,665,7820,66.248,0.6911,32.8025,0.2583,130741,7719,4519,131,91.36,5.39,3.16,0.09,50,0,179511,8116,67473,649,1655,4963,94,1879,22,70.4069,3.07,25.523,0.2455,0.0356,0.7108,0.0083,41.5075206,5.6063663
s_339,46.7116018,5.817537,19.8002146,110524,1588,205635,1126,7662,36.194,0.4863,62.9749,0.3448,84745,6161,4602,215,88.53,6.44,4.81,0.22,40,0,129107,6732,187170,1215,2311,3617,74,1948,16,40.6499,2.0266,56.3443,0.3658,0.0223,0.5864,0.0048,38.628448,5.2636876
s_34,48.101833,5.6635803,18.9134682,142539,1398,94592,924,2799,59.9946,0.5771,39.0469,0.3814,91069,3411,5584,26,90.99,3.41,5.58,0.03,40,0,150463,3773,86608,750,658,4052,68,2108,3,62.4481,1.5184,34.8547,0.3018,0.0274,0.8483,0.0012,40.548264,5.0031917
s_341,47.69218,5.8374394,19.2220464,72108,985,90408,428,2591,44.8589,0.5915,54.2926,0.257,51616,4568,2327,47,88.15,7.8,3.97,0.08,40,0,82303,4831,78408,405,573,2228,54,818,2,50.1727,2.8481,46.2251,0.2388,0.0318,0.4822,0.0012,40.2424242,5.2352265
s_342,51.5455775,5.5882312,17.2164548,99412,697,51643,261,2551,65.9681,0.4509,33.412,0.1689,51115,3173,3889,41,87.8,5.45,6.68,0.07,50,0,103705,3324,46305,251,979,3300,44,1648,8,67.6744,2.0832,29.0197,0.1573,0.0276,1.0328,0.005,41.2853825,5.6118938
s_343,50.7640977,5.3384373,17.9199084,120265,2263,125766,922,3725,49.0193,0.8947,49.7215,0.3645,69497,6851,6135,320,83.93,8.27,7.41,0.39,40,0,131327,7497,111265,1056,1796,5062,94,2706,43,52.9757,2.8741,42.6554,0.4048,0.036,1.0374,0.0165,40.7716708,5.4802251
s_344,53.578739,4.9992533,16.1657484,255160,1403,226458,341,12867,54.0128,0.2827,45.6358,0.0687,172041,7041,5533,136,93.12,3.81,2.99,0.07,50,0,277351,7389,207492,417,3580,10625,77,2541,9,57.2261,1.4503,40.7262,0.0818,0.0151,0.4987,0.0018,43.7049777,4.99618
s_345,52.33305,5.1864783,17.4047226,147923,1329,129692,351,6535,54.0384,0.465,45.3738,0.1228,107369,5592,4110,118,91.62,4.77,3.51,0.1,60,0,161928,6004,115828,397,1673,4737,79,1804,12,57.5589,2.0529,39.6045,0.1357,0.027,0.6168,0.0041,41.3201723,5.4581994
s_346,52.655629,5.4024878,17.2791642,306526,1651,184725,570,11833,63.0033,0.3267,36.5571,0.1128,230168,8452,5976,177,94.03,3.45,2.44,0.07,50,0,334550,8847,158839,596,2473,9185,107,3066,64,66.8708,1.7088,30.6801,0.1151,0.0207,0.5922,0.0124,42.7693491,5.3456564
s_347,50.1237574,5.4867251,18.9367407,149407,6341,220672,1924,9406,40.9576,1.6353,56.9109,0.4962,121420,13250,14868,764,80.78,8.82,9.89,0.51,40,0,169013,15106,199138,2331,2162,5426,177,5634,43,44.2576,3.7857,49.9055,0.5842,0.0444,1.4119,0.0108,41.6442395,5.3124021
s_348,50.5397864,5.4303968,17.6965646,56229,2393,69668,703,2738,44.7632,1.8166,52.8866,0.5337,39005,4992,4994,37,79.56,10.18,10.19,0.08,50,0,60522,5583,64394,625,607,1353,48,1867,9,46.2802,4.1353,47.6964,0.4629,0.0356,1.3829,0.0067,40.9874176,5.4921286
s_349,54.5915774,5.1340228,15.5374192,54537,1186,65232,425,1966,45.8085,0.9615,52.8854,0.3446,33497,2968,4121,43,82.45,7.31,10.14,0.11,60,0,59334,3368,59651,407,586,1410,39,1649,4,48.5022,2.6635,47.1743,0.3219,0.0308,1.3041,0.0032,43.4301363,5.6029368
s_35,46.261739,6.049188,19.1992334,122087,4250,128688,1469,17822,51.0029,1.5493,46.9123,0.5355,116529,10520,7667,260,86.33,7.79,5.68,0.19,60,0,146245,11186,111111,1492,4282,4300,161,4209,12,54.7096,3.9527,39.2621,0.5272,0.0569,1.4873,0.0042,39.0999904,5.1344346
s_350,45.4804224,5.7504296,20.8969102,164458,1695,319377,309,28397,37.5032,0.3296,62.1071,0.0601,148620,8602,3419,142,92.44,5.35,2.13,0.09,40,0,204485,9140,293684,438,6489,6554,111,1496,5,41.64,1.7496,56.218,0.0838,0.0212,0.2864,0.001,37.401588,5.2919229
s_351,52.1814247,5.3472708,17.5437019,164775,2373,129334,684,13468,57.3804,0.7639,41.6355,0.2202,146182,7421,6619,140,91.16,4.63,4.13,0.09,50,0,189156,7887,109721,673,3197,6016,105,3108,9,62.0151,2.4657,34.3015,0.2104,0.0328,0.9716,0.0028,41.5071565,5.538789
s_352,46.3902648,5.7558184,19.8304159,87483,1772,146533,798,6731,38.7207,0.7283,60.2231,0.328,73913,6008,5445,138,86.44,7.03,6.37,0.16,50,0,104287,6720,129505,779,2026,3392,117,2411,17,44.0133,2.696,51.957,0.3125,0.0469,0.9673,0.0068,37.724816,5.3068169
s_354,46.741249,5.8185806,20.3936404,158733,1616,202389,358,8735,45.0387,0.4346,54.4304,0.0963,124085,7618,4710,390,90.7,5.57,3.44,0.29,50,0,180213,8055,180756,739,2068,6180,80,2348,17,49.5356,2.1172,47.5104,0.1942,0.021,0.6172,0.0045,38.0225042,5.5276781
s_355,50.8475642,5.6282537,17.4225234,120768,2728,83844,1087,4175,58.7685,1.2831,39.4371,0.5113,81466,6870,9257,391,83.14,7.01,9.45,0.4,50,0,130203,7669,72400,1303,1027,4024,98,4520,16,61.129,3.4661,32.7217,0.5889,0.0443,2.0428,0.0072,41.7108973,5.388178
s_357,53.0893163,5.4123323,16.7192276,166558,1216,133160,293,3631,55.8257,0.3989,43.6794,0.0961,126971,4759,4468,127,93.14,3.49,3.28,0.09,50,0,179792,5280,118390,401,995,4859,53,1992,5,59.5464,1.6936,37.9739,0.1286,0.017,0.6389,0.0016,42.1709128,5.5994719
s_358,48.2861365,5.4331111,19.0688398,104752,1790,182289,338,7388,37.814,0.6036,61.4685,0.114,112403,9057,4056,179,89.43,7.21,3.23,0.14,40,0,134068,9599,151099,444,1347,4746,105,879,2,46.3666,3.1754,49.9849,0.1469,0.0347,0.2908,0.0007,38.9907588,4.995488
s_359,50.9049633,5.4603247,18.2497424,80196,1321,84395,237,1918,48.8579,0.786,50.2151,0.141,53325,5630,4884,106,83.39,8.8,7.64,0.17,50,0,89968,5991,71329,312,467,2804,66,2226,16,53.8397,3.4594,41.188,0.1802,0.0381,1.2854,0.0092,41.0004865,5.5175316
s_36,54.4558622,5.2069546,16.2582268,146836,518,54811,474,2602,72.811,0.2524,26.7057,0.2309,83833,1839,3048,24,94.47,2.07,3.43,0.03,50,0,152686,2007,49489,441,618,4056,14,1412,0,74.6762,0.9524,23.4853,0.2093,0.0066,0.6701,0,44.3573553,5.6697801
s_360,47.7623223,5.8767948,19.5670749,262482,4268,340153,1363,33101,46.0864,0.6655,53.0356,0.2125,220601,16859,7738,253,89.88,6.87,3.15,0.1,50,1,312487,18204,300974,1448,8254,10460,189,3428,20,50.5292,2.7773,45.9177,0.2209,0.0288,0.523,0.0031,39.2862125,5.0484826
s_361,51.488355,5.3045055,17.5334962,152236,2101,158544,374,21136,51.8471,0.6283,47.4128,0.1118,129752,5614,5745,166,91.84,3.97,4.07,0.12,50,0,179400,6190,143264,479,5058,5420,122,3400,14,55.3021,1.8028,41.7257,0.1395,0.0355,0.9903,0.0041,41.9072566,5.2970667
s_362,41.565765,6.5133961,21.4291373,196992,6074,277191,1121,27210,44.0832,1.1943,54.5021,0.2204,178223,21409,8503,372,85.48,10.27,4.08,0.18,50,1,242291,22857,235125,1278,7037,7626,295,3081,22,49.4511,4.3989,45.2501,0.246,0.0568,0.5929,0.0042,36.2160357,4.913476
s_363,46.9939301,6.0216997,18.101623,277938,2695,253203,870,11684,53.0065,0.4932,46.3411,0.1592,185128,11313,5873,561,91.25,5.58,2.89,0.28,60,1,307967,12228,221033,1464,3698,7298,128,2267,13,57.3575,2.1989,39.7473,0.2633,0.023,0.4077,0.0023,39.9976886,5.1044468
s_364,50.1259948,5.653569,18.0037467,98971,528,87048,267,3836,53.9245,0.2769,45.6585,0.14,68143,3340,2789,84,91.64,4.49,3.75,0.11,60,1,108780,3452,77202,303,913,4160,34,1157,1,58.0877,1.7612,39.3884,0.1546,0.0173,0.5903,0.0005,40.4300579,5.1940002
s_365,52.1290249,5.3410017,17.0921555,202230,1593,157457,246,10879,57.2251,0.4278,42.2811,0.0661,169338,9209,1691,82,93.91,5.11,0.94,0.05,50,1,222787,9672,137498,322,2126,6544,67,698,2,60.9553,2.5472,36.2107,0.0848,0.0176,0.1838,0.0005,42.5928699,5.1774242
s_366,49.8135548,5.7334952,18.1505671,244429,3363,187415,886,23950,58.3378,0.731,40.7386,0.1926,212101,15756,6942,439,90.16,6.7,2.95,0.19,60,0,278669,16741,158328,1167,5138,8393,188,2551,9,62.014,3.553,33.6022,0.2477,0.0399,0.5414,0.0019,41.7048044,5.3307472
s_367,51.96293,5.4000495,17.2835898,145521,1920,108188,420,6490,57.9004,0.7313,41.2084,0.16,84645,8648,5361,81,85.73,8.76,5.43,0.08,50,1,153893,9077,97834,419,1316,3589,141,1936,15,59.2044,3.3842,36.4753,0.1562,0.0526,0.7218,0.0056,41.9928876,5.7764038
s_368,52.9065388,5.1357877,17.3446804,287493,1836,201801,467,19628,60.0755,0.3591,39.474,0.0913,229738,9999,9930,93,91.98,4,3.98,0.04,60,0,318381,10415,178150,457,3822,10447,155,5622,13,63.0662,1.9745,33.7749,0.0866,0.0294,1.0659,0.0025,42.3891686,5.3380808
s_369,44.5164387,6.0094708,20.2840031,46551,739,101142,233,4098,33.1553,0.4838,66.2084,0.1525,43478,3930,2239,79,87.44,7.9,4.5,0.16,40,0,59775,4118,87658,263,949,2549,56,1073,17,40.4409,2.632,56.0265,0.1681,0.0358,0.6858,0.0109,36.9838005,5.2603982
s_370,49.8850923,5.1958667,17.8307696,96478,1583,156297,528,6355,39.3633,0.606,59.8287,0.2021,64678,5860,5245,76,85.26,7.72,6.91,0.1,60,0,109221,6464,143219,544,1793,2748,80,2474,17,42.6778,2.425,53.7286,0.2041,0.03,0.9281,0.0064,42.0244857,5.0780544
s_372,46.210142,6.2959608,19.131297,220365,3191,195078,506,21334,54.8725,0.7244,44.2882,0.1149,191948,14272,3819,245,91.28,6.79,1.82,0.12,60,1,255970,14859,164302,712,4631,7709,168,2003,3,59.5772,3.2994,36.4826,0.1581,0.0373,0.4448,0.0007,38.7480228,5.0310344
s_373,49.3395888,6.0876167,17.50243,159268,2961,117109,793,8211,58.0835,1.0269,40.6146,0.275,119393,8380,2410,103,91.64,6.43,1.85,0.08,50,0,173004,9136,103441,790,1971,3894,109,1245,4,60.9239,3.1118,35.2327,0.2691,0.0371,0.4241,0.0014,40.5507908,5.4902153
s_374,49.663798,5.7512713,18.1723274,146411,1745,165000,558,10203,48.35,0.5387,50.939,0.1723,118927,7557,5400,321,89.96,5.72,4.08,0.24,60,1,170881,8103,141824,684,2425,6826,104,2225,30,54.0771,2.4326,42.5767,0.2053,0.0312,0.668,0.009,40.1787968,5.5283365
s_375,47.8707795,5.7407519,18.7879373,92040,1802,127443,423,12335,44.5965,0.7699,54.4528,0.1807,85728,6977,1940,420,90.18,7.34,2.04,0.44,40,1,111823,7502,111246,862,2610,3222,70,1123,11,49.3376,3.1459,46.6501,0.3615,0.0294,0.4709,0.0046,39.8217197,5.1886657
s_376,45.1369317,5.9262028,20.7925207,35224,416,41510,87,979,46.2859,0.5319,53.071,0.1112,22281,1827,1114,72,88.09,7.22,4.4,0.28,40,0,38886,1946,36941,149,294,1457,24,446,1,50.705,2.4281,46.0933,0.1859,0.0299,0.5565,0.0012,38.5365927,5.4096002
s_377,52.394943,5.1281917,17.3665603,149613,1743,153210,1024,6841,50.0763,0.5579,49.038,0.3278,101782,4941,5375,82,90.73,4.4,4.79,0.07,60,0,164685,5447,139179,1007,2113,5668,124,3022,6,53.6857,1.6956,43.3241,0.3135,0.0386,0.9407,0.0019,43.4905465,5.4389924
s_378,55.652691,5.1196911,15.7284926,241242,1927,268219,1126,11433,48.2253,0.3678,51.192,0.2149,165897,6823,8988,92,91.25,3.75,4.94,0.05,70,0,270881,7404,241327,1091,3244,6589,81,4223,8,52.4848,1.3843,45.1207,0.204,0.0151,0.7896,0.0015,44.123761,5.8889982
s_38,49.5796882,5.2124659,18.801446,86165,848,127647,809,2640,40.7159,0.3888,58.5244,0.3709,38435,2208,3193,161,87.36,5.02,7.26,0.37,40,0,92453,2624,121003,865,1164,2689,40,1775,30,43.2558,1.1786,54.3484,0.3885,0.018,0.7972,0.0135,39.9202827,5.3979338
s_380,52.9885159,5.2690876,16.8536879,253288,1405,129367,743,12657,66.9111,0.3535,32.5484,0.1869,192914,5645,4037,118,95.17,2.78,1.99,0.06,60,0,275968,6138,111815,803,2736,6585,47,1722,2,70.3001,1.5125,27.5531,0.1979,0.0116,0.4243,0.0005,43.0643627,5.5552163
